,STNCODE,STNNAME,ADDRESS1,ADDRESS2,CITY,STATE,ZIP,STNTYPE,STFIPS,OBJECTID_1,OBJECTID,type,coordinates
0,HUN,"Huntington, West Virginia",1050 8th Avenue, ,Huntington,WV,25701,RAIL,54,1,1,Point,"[-82.44084199992164, 38.41540499974453]"
1,HUT,"Hutchinson, Kansas",North Walnut St & East 3rd Ave, ,Hutchinson,KS,67501,RAIL,20,2,2,Point,"[-97.93006100023159, 38.055859000103176]"
2,HWC,"Howard City, Michigan",130 North Ensley St.,Sunoco Station,Howard City,MI,49323,BUS,26,3,3,Point,"[-85.46992499964712, 43.395728999720895]"
3,IDO,"Indio, California",NE Corner Hywy-111 and Monroe Street,Sunline Bus Stop,Indio,CA,92201-3917,BUS,06,4,4,Point,"[-116.23317000010776, 33.71475199943087]"
4,IDP,"Independence, Missouri",600 South Grand Ave., ,Independence,MO,64050-3564,RAIL,29,5,5,Point,"[-94.42929799976386, 39.08697500000678]"
5,IND,"Indianapolis, Indiana",350 South Illinois Street, ,Indianapolis,IN,46225-1198,RAIL,18,6,6,Point,"[-86.16030900025957, 39.762153999821]"
6,IRV,"Irvine, California",15215 Barranca Parkway,Irvine Transportation Center,Irvine,CA,92618,RAIL,06,7,7,Point,"[-117.75919299922002, 33.67476700050719]"
7,JAN,"Jackson, Mississippi",300 W. Capital Street, ,Jackson,MS,39201,RAIL,28,8,8,Point,"[-90.19059799999248, 32.300643999064484]"
8,JAX,"Jacksonville, Florida",3570 Clifford Lane, ,Jacksonville,FL,32209-2123,RAIL,12,9,9,Point,"[-81.72460200069219, 30.36657700005433]"
9,JEF,"Jefferson City, Missouri",101 Jefferson Street, ,Jefferson City,MO,65101,RAIL,29,10,10,Point,"[-92.17037999979763, 38.57905200020736]"
10,JMN,"Jamestown, New York",111 West Third Street,U.S. News Agency,Jamestown,NY,14701,BUS,36,11,12,Point,"[-79.2400969995544, 42.09642400045987]"
11,JOL,"Joliet, Illinois",50 East Jefferson Street,Union Station,Joliet,IL,60431,RAIL,17,12,13,Point,"[-88.07914000081338, 41.524876000511]"
12,JSP,"Jesup, Georgia",176 Northwest Broad Street, ,Jesup,GA,31545-1300,RAIL,13,13,14,Point,"[-81.88220199935353, 31.60590900021162]"
13,JST,"Johnstown, Pennsylvania",47 Walnut Street, ,Johnstown,PA,15901,RAIL,42,14,15,Point,"[-78.92242400044167, 40.330100999721466]"
14,JVL,"Janesville, Wisconsin",3120 North Pontiac Drive,Bus Station,Janesville,WI,53545-0373,BUS,55,15,16,Point,"[-88.99692500029502, 42.72035600017883]"
15,JXN,"Jackson, Michigan",501 E. Michigan Ave., ,Jackson,MI,49201,RAIL,26,16,17,Point,"[-84.40029099978341, 42.24805100024711]"
16,KAL,"Kalamazoo, Michigan",459 North Burdick St., ,Kalamazoo,MI,49007-3669,RAIL,26,17,18,Point,"[-85.58358799980849, 42.29545200001349]"
17,KAN,"Kannapolis, North Carolina",201 South Main St., ,Kannapolis,NC,28081,RAIL,37,18,19,Point,"[-80.62181099953699, 35.501266000303204]"
18,KCY,"Kansas City, Missouri",30 West Pershing Rd.,"Union Station, Suite 160",Kansas City,MO,64108-2410,RAIL,29,19,20,Point,"[-94.5839460005526, 39.08615100031465]"
19,KEE,"Kewanee, Illinois",Loomis and North Tremont Sts., ,Kewanee,IL,61443,RAIL,17,20,21,Point,"[-89.92742199917511, 41.24562500030473]"
20,KEL,"Kelso-Longview, Washington",501 South First Street, ,Kelso,WA,98626,RAIL,53,21,22,Point,"[-122.91176599980243, 46.142623999417744]"
21,KFS,"Klamath Falls, Oregon",1600 Oak Ave., ,Klamath Falls,OR,97601-3286,RAIL,41,22,23,Point,"[-121.7709199997444, 42.225879999383544]"
22,KGC,"King City, California",1350 Broadway Circle,MacDonalds Restaurant - south side parking lot,King City,CA,93930-3446,BUS,06,23,24,Point,"[-121.12869999954009, 36.20350999943834]"
23,KGG,"Kingman (Greyhound), Arizona",3264 E. Andy Devine Av.,Greyhound Station,Kingman,AZ,86401-3724,BUS,04,24,25,Point,"[-114.0080869851308, 35.220316350364065]"
24,KGS,"Kingsley, Michigan",119 E. Main St.,Kingsley Laundromat,Kingsley,MI,49649,BUS,26,25,26,Point,"[-85.53649333235501, 44.58453291417862]"
25,KIL,"Killeen, Texas",200 East Avenue C,Arrow Trailways Bus Station,Killeen,TX,76541-5231,BUS,48,26,27,Point,"[-97.72948500099831, 31.121298000060815]"
26,KIN,"West Kingston, Rhode Island",1 Railroad Avenue, ,West Kingston,RI,02892-1508,RAIL,44,27,28,Point,"[-71.5622859997969, 41.48394000021041]"
27,KIS,"Kissimmee, Florida",111 East Dakin Ave., ,Kissimmee,FL,34741-5723,RAIL,12,28,29,Point,"[-81.40512176909424, 28.29343249408779]"
28,KKI,"Kankakee, Illinois",199 South East Ave., ,Kankakee,IL,60901-3834,RAIL,17,29,30,Point,"[-87.86576100014844, 41.119133000219364]"
29,KNG,"Kingman, Arizona",106 4th Street, ,Kingman,AZ,86401,RAIL,04,30,32,Point,"[-114.05207099965608, 35.188357999875315]"
30,CNH,"Concord, New Hampshire",30 Stickney Ave.,Concord Transportation Center,Concord,NH,03301-5064,BUS,33,31,33,Point,"[-71.53432763169963, 43.211433425050124]"
31,COC,"Corcoran, California",1099 Otis Ave.,Otis and Whitney Aves.,Corcoran,CA,93212-2445,RAIL,06,32,34,Point,"[-119.55650300013939, 36.09819400011456]"
32,COI,"Connersville, Indiana",1012 Eastern Avenue, ,Connersville,IN,47331,RAIL,18,33,35,Point,"[-85.13355999983288, 39.64646499976873]"
33,COS,"Colorado Springs, Colorado",120 South Weber Street, ,Colorado Springs,CO,80903,BUS,08,34,36,Point,"[-104.81919900054969, 38.831923999807564]"
34,COT,"Coatesville, Pennsylvania",Third Ave. and Fleetwood St., ,Coatesville,PA,19320,RAIL,42,35,37,Point,"[-75.82066300028387, 39.985619000067345]"
35,COV,"Connellsville, Pennsylvania",North Water Street and West Peach Street, ,Connellsville,PA,15425,RAIL,42,36,38,Point,"[-79.59259800023604, 40.01810099970233]"
36,COX,"Colfax, California",99 Railroad St. at Church St., ,Colfax,CA,95713,RAIL,06,37,39,Point,"[-120.95270500027817, 39.099456999145]"
37,CPN,"Carpinteria, California",475 Linden at Fifth Street, ,Carpinteria,CA,93013,RAIL,06,38,40,Point,"[-119.5213170001668, 34.396003999651384]"
38,CRB,"Crawfordsville (Bus), Indiana",1000 Smith Ave,McDonald's Restaurant,Crawfordsville,IN,47933-1076,BUS,18,39,41,Point,"[-86.90507653476044, 40.0759464104348]"
39,CRF,"Crawfordsville (Amtrak), Indiana",Spring and Green Streets, ,Crawfordsville,IN,47933,RAIL,18,40,42,Point,"[-86.89938399973819, 40.0442540003433]"
